STAR version=2.7.10b
STAR compilation time,server,dir=2023-05-25T06:56:23+0000 :/opt/conda/conda-bld/star_1684997536154/work/source
##### Command Line:
/beegfs/scratch/ric.broccoli/kubacki.michal/conda_envs/snakemake/bin/STAR-avx2 --runMode genomeGenerate --runThreadN 8 --genomeDir reference/star_index --genomeFastaFiles reference/GRCh38.primary_assembly.genome.fa --sjdbGTFfile reference/gencode.v38.annotation.gtf --sjdbOverhang 100
##### Initial USER parameters from Command Line:
###### All USER parameters from Command Line:
runMode                       genomeGenerate        ~RE-DEFINED
runThreadN                    8     ~RE-DEFINED
genomeDir                     reference/star_index     ~RE-DEFINED
genomeFastaFiles              reference/GRCh38.primary_assembly.genome.fa        ~RE-DEFINED
sjdbGTFfile                   reference/gencode.v38.annotation.gtf     ~RE-DEFINED
sjdbOverhang                  100     ~RE-DEFINED
##### Finished reading parameters from all sources

##### Final user re-defined parameters-----------------:
runMode                           genomeGenerate   
reference/GRCh38.primary_assembly.genome.fa : chr # 77  "KI270384.1" chrStart: 3105095680
reference/GRCh38.primary_assembly.genome.fa : chr # 78  "KI270385.1" chrStart: 3105357824
reference/GRCh38.primary_assembly.genome.fa : chr # 79  "KI270386.1" chrStart: 3105619968
reference/GRCh38.primary_assembly.genome.fa : chr # 80  "KI270387.1" chrStart: 3105882112
reference/GRCh38.primary_assembly.genome.fa : chr # 81  "KI270388.1" chrStart: 3106144256
reference/GRCh38.primary_assembly.genome.fa : chr # 82  "KI270389.1" chrStart: 3106406400
reference/GRCh38.primary_assembly.genome.fa : chr # 83  "KI270390.1" chrStart: 3106668544
reference/GRCh38.primary_assembly.genome.fa : chr # 84  "KI270391.1" chrStart: 3106930688
reference/GRCh38.primary_assembly.genome.fa : chr # 85  "KI270392.1" chrStart: 3107192832
reference/GRCh38.primary_assembly.genome.fa : chr # 86  "KI270393.1" chrStart: 3107454976
reference/GRCh38.primary_assembly.genome.fa : chr # 87  "KI270394.1" chrStart: 3107717120
reference/GRCh38.primary_assembly.genome.fa : chr # 88  "KI270395.1" chrStart: 3107979264
reference/GRCh38.primary_assembly.genome.fa : chr # 89  "KI270396.1" chrStart: 3108241408
reference/GRCh38.primary_assembly.genome.fa : chr # 90  "KI270411.1" chrStart: 3108503552
reference/GRCh38.primary_assembly.genome.fa : chr # 91  "KI270412.1" chrStart: 3108765696
reference/GRCh38.primary_assembly.genome.fa : chr # 92  "KI270414.1" chrStart: 3109027840
reference/GRCh38.primary_assembly.genome.fa : chr # 93  "KI270417.1" chrStart: 3109289984
reference/GRCh38.primary_assembly.genome.fa : chr # 94  "KI270418.1" chrStart: 3109552128
reference/GRCh38.primary_assembly.genome.fa : chr # 95  "KI270419.1" chrStart: 3109814272
reference/GRCh38.primary_assembly.genome.fa : chr # 96  "KI270420.1" chrStart: 3110076416
reference/GRCh38.primary_assembly.genome.fa : chr # 97  "KI270422.1" chrStart: 3110338560
reference/GRCh38.primary_assembly.genome.fa : chr # 98  "KI270423.1" chrStart: 3110600704
reference/GRCh38.primary_assembly.genome.fa : chr # 99  "KI270424.1" chrStart: 3110862848
reference/GRCh38.primary_assembly.genome.fa : chr # 100  "KI270425.1" chrStart: 3111124992
reference/GRCh38.primary_assembly.genome.fa : chr # 101  "KI270429.1" chrStart: 3111387136
reference/GRCh38.primary_assembly.genome.fa : chr # 102  "KI270435.1" chrStart: 3111649280
reference/GRCh38.primary_assembly.genome.fa : chr # 103  "KI270438.1" chrStart: 3111911424
reference/GRCh38.primary_assembly.genome.fa : chr # 104  "KI270442.1" chrStart: 3112173568
reference/GRCh38.primary_assembly.genome.fa : chr # 105  "KI270448.1" chrStart: 3112697856
reference/GRCh38.primary_assembly.genome.fa : chr # 106  "KI270465.1" chrStart: 3112960000
reference/GRCh38.primary_assembly.genome.fa : chr # 107  "KI270466.1" chrStart: 3113222144
reference/GRCh38.primary_assembly.genome.fa : chr # 108  "KI270467.1" chrStart: 3113484288
reference/GRCh38.primary_assembly.genome.fa : chr # 109  "KI270468.1" chrStart: 3113746432
reference/GRCh38.primary_assembly.genome.fa : chr # 110  "KI270507.1" chrStart: 3114008576
reference/GRCh38.primary_assembly.genome.fa : chr # 111  "KI270508.1" chrStart: 3114270720
reference/GRCh38.primary_assembly.genome.fa : chr # 112  "KI270509.1" chrStart: 3114532864
reference/GRCh38.primary_assembly.genome.fa : chr # 113  "KI270510.1" chrStart: 3114795008
reference/GRCh38.primary_assembly.genome.fa : chr # 114  "KI270511.1" chrStart: 3115057152
reference/GRCh38.primary_assembly.genome.fa : chr # 115  "KI270512.1" chrStart: 3115319296
reference/GRCh38.primary_assembly.genome.fa : chr # 116  "KI270515.1" chrStart: 3115581440
reference/GRCh38.primary_assembly.genome.fa : chr # 117  "KI270516.1" chrStart: 3115843584
reference/GRCh38.primary_assembly.genome.fa : chr # 118  "KI270517.1" chrStart: 3116105728
reference/GRCh38.primary_assembly.genome.fa : chr # 119  "KI270518.1" chrStart: 3116367872
reference/GRCh38.primary_assembly.genome.fa : chr # 120  "KI270519.1" chrStart: 3116630016
reference/GRCh38.primary_assembly.genome.fa : chr # 121  "KI270521.1" chrStart: 3116892160
reference/GRCh38.primary_assembly.genome.fa : chr # 122  "KI270522.1" chrStart: 3117154304
reference/GRCh38.primary_assembly.genome.fa : chr # 123  "KI270528.1" chrStart: 3117416448
reference/GRCh38.primary_assembly.genome.fa : chr # 124  "KI270529.1" chrStart: 3117678592
reference/GRCh38.primary_assembly.genome.fa : chr # 125  "KI270530.1" chrStart: 3117940736
reference/GRCh38.primary_assembly.genome.fa : chr # 126  "KI270538.1" chrStart: 3118202880
reference/GRCh38.primary_assembly.genome.fa : chr # 127  "KI270539.1" chrStart: 3118465024
reference/GRCh38.primary_assembly.genome.fa : chr # 128  "KI270544.1" chrStart: 3118727168
reference/GRCh38.primary_assembly.genome.fa : chr # 129  "KI270548.1" chrStart: 3118989312
reference/GRCh38.primary_assembly.genome.fa : chr # 130  "KI270579.1" chrStart: 3119251456
reference/GRCh38.primary_assembly.genome.fa : chr # 131  "KI270580.1" chrStart: 3119513600
reference/GRCh38.primary_assembly.genome.fa : chr # 132  "KI270581.1" chrStart: 3119775744
reference/GRCh38.primary_assembly.genome.fa : chr # 133  "KI270582.1" chrStart: 3120037888
reference/GRCh38.primary_assembly.genome.fa : chr # 134  "KI270583.1" chrStart: 3120300032
reference/GRCh38.primary_assembly.genome.fa : chr # 135  "KI270584.1" chrStart: 3120562176
reference/GRCh38.primary_assembly.genome.fa : chr # 136  "KI270587.1" chrStart: 3120824320
reference/GRCh38.primary_assembly.genome.fa : chr # 137  "KI270588.1" chrStart: 3121086464
reference/GRCh38.primary_assembly.genome.fa : chr # 138  "KI270589.1" chrStart: 3121348608
reference/GRCh38.primary_assembly.genome.fa : chr # 139  "KI270590.1" chrStart: 3121610752
reference/GRCh38.primary_assembly.genome.fa : chr # 140  "KI270591.1" chrStart: 3121872896
reference/GRCh38.primary_assembly.genome.fa : chr # 141  "KI270593.1" chrStart: 3122135040
reference/GRCh38.primary_assembly.genome.fa : chr # 142  "KI270706.1" chrStart: 3122397184
reference/GRCh38.primary_assembly.genome.fa : chr # 143  "KI270707.1" chrStart: 3122659328
reference/GRCh38.primary_assembly.genome.fa : chr # 144  "KI270708.1" chrStart: 3122921472
reference/GRCh38.primary_assembly.genome.fa : chr # 145  "KI270709.1" chrStart: 3123183616
reference/GRCh38.primary_assembly.genome.fa : chr # 146  "KI270710.1" chrStart: 3123445760
reference/GRCh38.primary_assembly.genome.fa : chr # 147  "KI270711.1" chrStart: 3123707904
reference/GRCh38.primary_assembly.genome.fa : chr # 148  "KI270712.1" chrStart: 3123970048
reference/GRCh38.primary_assembly.genome.fa : chr # 149  "KI270713.1" chrStart: 3124232192
reference/GRCh38.primary_assembly.genome.fa : chr # 150  "KI270714.1" chrStart: 3124494336
reference/GRCh38.primary_assembly.genome.fa : chr # 151  "KI270715.1" chrStart: 3124756480
reference/GRCh38.primary_assembly.genome.fa : chr # 152  "KI270716.1" chrStart: 3125018624
reference/GRCh38.primary_assembly.genome.fa : chr # 153  "KI270717.1" chrStart: 3125280768
reference/GRCh38.primary_assembly.genome.fa : chr # 154  "KI270718.1" chrStart: 3125542912
reference/GRCh38.primary_assembly.genome.fa : chr # 155  "KI270719.1" chrStart: 3125805056
reference/GRCh38.primary_assembly.genome.fa : chr # 156  "KI270720.1" chrStart: 3126067200
reference/GRCh38.primary_assembly.genome.fa : chr # 157  "KI270721.1" chrStart: 3126329344
reference/GRCh38.primary_assembly.genome.fa : chr # 158  "KI270722.1" chrStart: 3126591488
reference/GRCh38.primary_assembly.genome.fa : chr # 159  "KI270723.1" chrStart: 3126853632
reference/GRCh38.primary_assembly.genome.fa : chr # 160  "KI270724.1" chrStart: 3127115776
reference/GRCh38.primary_assembly.genome.fa : chr # 161  "KI270725.1" chrStart: 3127377920
reference/GRCh38.primary_assembly.genome.fa : chr # 162  "KI270726.1" chrStart: 3127640064
reference/GRCh38.primary_assembly.genome.fa : chr # 163  "KI270727.1" chrStart: 3127902208
reference/GRCh38.primary_assembly.genome.fa : chr # 164  "KI270728.1" chrStart: 3128426496
reference/GRCh38.primary_assembly.genome.fa : chr # 165  "KI270729.1" chrStart: 3130523648
reference/GRCh38.primary_assembly.genome.fa : chr # 166  "KI270730.1" chrStart: 3131047936
reference/GRCh38.primary_assembly.genome.fa : chr # 167  "KI270731.1" chrStart: 3131310080
reference/GRCh38.primary_assembly.genome.fa : chr # 168  "KI270732.1" chrStart: 3131572224
reference/GRCh38.primary_assembly.genome.fa : chr # 169  "KI270733.1" chrStart: 3131834368
reference/GRCh38.primary_assembly.genome.fa : chr # 170  "KI270734.1" chrStart: 3132096512
reference/GRCh38.primary_assembly.genome.fa : chr # 171  "KI270735.1" chrStart: 3132358656
reference/GRCh38.primary_assembly.genome.fa : chr # 172  "KI270736.1" chrStart: 3132620800
reference/GRCh38.primary_assembly.genome.fa : chr # 173  "KI270737.1" chrStart: 3132882944
reference/GRCh38.primary_assembly.genome.fa : chr # 174  "KI270738.1" chrStart: 3133145088
reference/GRCh38.primary_assembly.genome.fa : chr # 175  "KI270739.1" chrStart: 3133407232
reference/GRCh38.primary_assembly.genome.fa : chr # 176  "KI270740.1" chrStart: 3133669376
reference/GRCh38.primary_assembly.genome.fa : chr # 177  "KI270741.1" chrStart: 3133931520
reference/GRCh38.primary_assembly.genome.fa : chr # 178  "KI270742.1" chrStart: 3134193664
reference/GRCh38.primary_assembly.genome.fa : chr # 179  "KI270743.1" chrStart: 3134455808
reference/GRCh38.primary_assembly.genome.fa : chr # 180  "KI270744.1" chrStart: 3134717952
reference/GRCh38.primary_assembly.genome.fa : chr # 181  "KI270745.1" chrStart: 3134980096
reference/GRCh38.primary_assembly.genome.fa : chr # 182  "KI270746.1" chrStart: 3135242240
reference/GRCh38.primary_assembly.genome.fa : chr # 183  "KI270747.1" chrStart: 3135504384
reference/GRCh38.primary_assembly.genome.fa : chr # 184  "KI270748.1" chrStart: 3135766528
reference/GRCh38.primary_assembly.genome.fa : chr # 185  "KI270749.1" chrStart: 3136028672
reference/GRCh38.primary_assembly.genome.fa : chr # 186  "KI270750.1" chrStart: 3136290816
reference/GRCh38.primary_assembly.genome.fa : chr # 187  "KI270751.1" chrStart: 3136552960
reference/GRCh38.primary_assembly.genome.fa : chr # 188  "KI270752.1" chrStart: 3136815104
reference/GRCh38.primary_assembly.genome.fa : chr # 189  "KI270753.1" chrStart: 3137077248
reference/GRCh38.primary_assembly.genome.fa : chr # 190  "KI270754.1" chrStart: 3137339392
reference/GRCh38.primary_assembly.genome.fa : chr # 191  "KI270755.1" chrStart: 3137601536
reference/GRCh38.primary_assembly.genome.fa : chr # 192  "KI270756.1" chrStart: 3137863680
reference/GRCh38.primary_assembly.genome.fa : chr # 193  "KI270757.1" chrStart: 3138125824
Chromosome sequence lengths: 
chr1	248956422
chr2	242193529
chr3	198295559
chr4	190214555
chr5	181538259
chr6	170805979
chr7	159345973
chr8	145138636
chr9	138394717
chr10	133797422
chr11	135086622
chr12	133275309
chr13	114364328
chr14	107043718
chr15	101991189
chr16	90338345
chr17	83257441
chr18	80373285
chr19	58617616
chr20	64444167
chr21	46709983
chr22	50818468
chrX	156040895
chrY	57227415
chrM	16569
GL000008.2	209709
GL000009.2	201709
GL000194.1	191469
GL000195.1	182896
GL000205.2	185591
GL000208.1	92689
GL000213.1	164239
GL000214.1	137718
GL000216.2	176608
GL000218.1	161147
GL000219.1	179198
GL000220.1	161802
GL000221.1	155397
GL000224.1	179693
GL000225.1	211173
GL000226.1	15008
KI270302.1	2274
KI270303.1	1942
KI270304.1	2165
KI270305.1	1472
KI270310.1	1201
KI270311.1	12399
KI270312.1	998
KI270315.1	2276
KI270316.1	1444
KI270317.1	37690
KI270320.1	4416
KI270322.1	21476
KI270329.1	1040
KI270330.1	1652
KI270333.1	2699
KI270334.1	1368
KI270335.1	1048
KI270336.1	1026
KI270337.1	1121
KI270338.1	1428
KI270340.1	1428
KI270362.1	3530
KI270363.1	1803
KI270364.1	2855
KI270366.1	8320
KI270371.1	2805
KI270372.1	1650
KI270373.1	1451
KI270374.1	2656
KI270375.1	2378
KI270376.1	1136
KI270378.1	1048
KI270379.1	1045
KI270381.1	1930
KI270382.1	4215
KI270383.1	1750
KI270384.1	1658
KI270385.1	990
KI270386.1	1788
KI270387.1	1537
KI270388.1	1216
KI270389.1	1298
KI270390.1	2387
KI270391.1	1484
KI270392.1	971
KI270393.1	1308
KI270394.1	970
KI270395.1	1143
KI270396.1	1880
KI270411.1	2646
KI270412.1	1179
KI270414.1	2489
KI270417.1	2043
KI270418.1	2145
KI270419.1	1029
KI270420.1	2321
KI270422.1	1445
KI270423.1	981
KI270424.1	2140
KI270425.1	1884
KI270429.1	1361
KI270435.1	92983
KI270438.1	112505
KI270442.1	392061
KI270448.1	7992
KI270465.1	1774
KI270466.1	1233
KI270467.1	3920
KI270468.1	4055
KI270507.1	5353
KI270508.1	1951
KI270509.1	2318
KI270510.1	2415
KI270511.1	8127
KI270512.1	22689
KI270515.1	6361
KI270516.1	1300
KI270517.1	3253
KI270518.1	2186
KI270519.1	138126
KI270521.1	7642
KI270522.1	5674
KI270528.1	2983
KI270529.1	1899
KI270530.1	2168
KI270538.1	91309
KI270539.1	993
KI270544.1	1202
KI270548.1	1599
KI270579.1	31033
KI270580.1	1553
KI270581.1	7046
KI270582.1	6504
KI270583.1	1400
KI270584.1	4513
KI270587.1	2969
KI270588.1	6158
KI270589.1	44474
KI270590.1	4685
KI270591.1	5796
KI270593.1	3041
KI270706.1	175055
KI270707.1	32032
KI270708.1	127682
KI270709.1	66860
KI270710.1	40176
KI270711.1	42210
KI270712.1	176043
KI270713.1	40745
KI270714.1	41717
KI270715.1	161471
KI270716.1	153799
KI270717.1	40062
KI270718.1	38054
KI270719.1	176845
KI270720.1	39050
KI270721.1	100316
KI270722.1	194050
KI270723.1	38115
KI270724.1	39555
KI270725.1	172810
KI270726.1	43739
KI270727.1	448248
KI270728.1	1872759
KI270729.1	280839
KI270730.1	112551
KI270731.1	150754
KI270732.1	41543
KI270733.1	179772
KI270734.1	165050
KI270735.1	42811
KI270736.1	181920
KI270737.1	103838
KI270738.1	99375
KI270739.1	73985
KI270740.1	37240
KI270741.1	157432
KI270742.1	186739
KI270743.1	210658
KI270744.1	168472
KI270745.1	41891
KI270746.1	66486
KI270747.1	198735
KI270748.1	93321
KI270749.1	158759
KI270750.1	148850
KI270751.1	150742
KI270752.1	27745
KI270753.1	62944
KI270754.1	40191
KI270755.1	36723
KI270756.1	79590
KI270757.1	71251
Genome sequence total length = 3099750718
Genome size with padding = 3138387968
Jan 05 16:17:54 ..... processing annotations GTF
Processing pGe.sjdbGTFfile=reference/gencode.v38.annotation.gtf, found:
		237012 transcripts
		1499012 exons (non-collapsed)
		390993 collapsed junctions
Total junctions: 390993
Jan 05 16:18:09 ..... finished GTF processing

Estimated genome size with padding and SJs: total=genome+SJ=3339387968 = 3138387968 + 201000000
GstrandBit=32
Number of SA indices: 5897255510
Jan 05 16:18:22 ... starting to sort Suffix Array. This may take a long time...
Number of chunks: 27;   chunks size limit: 1854241784 bytes
Jan 05 16:18:35 ... sorting Suffix Array chunks and saving them to disk...
Writing 1791034696 bytes into reference/star_index//SA_7 ; empty space on disk = 222038851584000 bytes ... done
Writing 1625576352 bytes into reference/star_index//SA_2 ; empty space on disk = 222036903329792 bytes ... done
Writing 1695044400 bytes into reference/star_index//SA_3 ; empty space on disk = 222034533023744 bytes ... done
Writing 1802540216 bytes into reference/star_index//SA_5 ; empty space on disk = 222034533023744 bytes ... done
Writing 1842920360 bytes into reference/star_index//SA_6 ; empty space on disk = 222031943041024 bytes ... done
Writing 1641833696 bytes into reference/star_index//SA_1 ; empty space on disk = 222029672349696 bytes ... done
Writing 1817086728 bytes into reference/star_index//SA_0 ; empty space on disk = 222028011929600 bytes ... done
Writing 1732397648 bytes into reference/star_index//SA_4 ; empty space on disk = 222026411278336 bytes ... done
Writing 1739863496 bytes into reference/star_index//SA_10 ; empty space on disk = 222066200018944 bytes ... done
Writing 1817090664 bytes into reference/star_index//SA_9 ; empty space on disk = 222060480036864 bytes ... done
Writing 1834070088 bytes into reference/star_index//SA_15 ; empty space on disk = 222115738419200 bytes ... done
Writing 1778262496 bytes into reference/star_index//SA_11 ; empty space on disk = 222115738419200 bytes ... done
Writing 1610611616 bytes into reference/star_index//SA_8 ; empty space on disk = 222109705961472 bytes ... done
Writing 1749272088 bytes into reference/star_index//SA_12 ; empty space on disk = 222082850881536 bytes ... done
Writing 1731265392 bytes into reference/star_index//SA_14 ; empty space on disk = 222082850881536 bytes ... done
Writing 1667201488 bytes into reference/star_index//SA_13 ; empty space on disk = 222078737842176 bytes ... done
Writing 1831310032 bytes into reference/star_index//SA_17 ; empty space on disk = 222069431730176 bytes ... done
Writing 1817115672 bytes into reference/star_index//SA_19 ; empty space on disk = 222064362389504 bytes ... done
Writing 1704350256 bytes into reference/star_index//SA_23 ; empty space on disk = 222062833565696 bytes ... done
Writing 1701441448 bytes into reference/star_index//SA_20 ; empty space on disk = 222060651479040 bytes ... done
Writing 1817679360 bytes into reference/star_index//SA_16 ; empty space on disk = 222060651479040 bytes ... done
Writing 1778814456 bytes into reference/star_index//SA_21 ; empty space on disk = 222056010481664 bytes ... done
Writing 1704549168 bytes into reference/star_index//SA_18 ; empty space on disk = 222056010481664 bytes ... done
Writing 1758878384 bytes into reference/star_index//SA_22 ; empty space on disk = 222052549132288 bytes ... done
Writing 1826890544 bytes into reference/star_index//SA_24 ; empty space on disk = 222041342476288 bytes ... done
Writing 1543849472 bytes into reference/star_index//SA_25 ; empty space on disk = 222038446833664 bytes ... done
Writing 1817093864 bytes into reference/star_index//SA_26 ; empty space on disk = 222035856850944 bytes ... done
Jan 05 17:11:48 ... loading chunks from disk, packing SA...
